Adamantina,33497
Adolfo,3684
Aguaí,28195
Águas da Prata,7131
Águas de Lindóia,16190
Águas de Santa Bárbara,5224
Águas de São Pedro,1883
Agudos,32484
Alambari,3650
Alfredo Marcondes,3697
Altair,3530
Altinópolis,15481
Alto Alegre,4261
Alumínio,15252
Álvares Florence,4316
Álvares Machado,22661
Álvaro de Carvalho,4109
Alvinlândia,2837
Americana,182593
Américo Brasiliense,28287
Américo de Campos,5594
Amparo,60404
Analândia,3582
Andradina,55161
Angatuba,19297
Anhembi,4535
Anhumas,3411
Aparecida,34904
Aparecida d'Oeste,4935
Apiaí,27162
Araçariguama,11154
Araçatuba,169254
Araçoiaba da Serra,19816
Aramina,4763
Arandu,6065
Arapeí,2618
Araraquara,182471
Araras,104196
Arco-Íris,2163
Arealva,7244
Areias,3600
Areiópolis,10296
Ariranha,7477
Artur Nogueira,33124
Arujá,59185
Aspásia,1861
Assis,87251
Atibaia,111300
Auriflama,13513
Avaí,4596
Avanhandava,8829
Avaré,76472
Bady Bassitt,11550
Balbinos,1313
Bálsamo,7340
Bananal,9713
Barão de Antonina,2794
Barbosa,5837
Bariri,28224
Barra Bonita,35487
Barra do Chapéu,4846
Barra do Turvo,8108
Barretos,103913
Barrinha,24207
Barueri,208281
Bastos,20588
Batatais,51112
Bauru,316064
Bebedouro,74815
Bento de Abreu,2394
Bernardino de Campos,10720
Bertioga,30039
Bilac,6088
Birigui,94300
Biritiba Mirim,24653
Boa Esperança do Sul,12573
Bocaina,9442
Bofete,7356
Boituva,34368
Bom Jesus dos Perdões,13313
Bom Sucesso de Itararé,3231
Borá,795
Boracéia,3739
Borborema,13193
Borebi,1933
Botucatu,108306
Bragança Paulista,125031
Braúna,4383
Brejo Alegre,2308
Brodowski,17139
Brotas,18886
Buri,17629
Buritama,13854
Buritizal,3674
Cabrália Paulista,4656
Cabreúva,33100
Caçapava,76130
Cachoeira Paulista,27205
Caconde,18378
Cafelândia,15793
Caiabu,4077
Caieiras,71221
Caiuá,4192
Cajamar,50761
Cajati,29227
Cajobi,9174
Cajuru,20777
Campina do Monte Alegre,5209
Campinas,969396
Campo Limpo Paulista,63724
Campos do Jordão,44252
Campos Novos Paulista,4181
Cananéia,12298
Canas,3614
Cândido Mota,29280
Cândido Rodrigues,2613
Canitar,3481
Capão Bonito,46732
Capela do Alto,14247
Capivari,41468
Caraguatatuba,78921
Carapicuíba,344596
Cardoso,11605
Casa Branca,26800
Cássia dos Coqueiros,2871
Castilho,14948
Catanduva,105847
Catiguá,6555
Cedral,6700
Cerqueira César,15144
Cerquilho,29508
Cesário Lange,12883
Charqueada,13037
Clementina,5404
Colina,16664
Colômbia,5954
Conchal,22676
Conchas,14904
Cordeirópolis,17591
Coroados,4417
Coronel Macedo,5589
Corumbataí,3794
